Day,Date,Court,Match ID,Team A,Team B,Gender,Group,Time,Score,Genius Match ID
6,9-Jan-2026,Indoor Court,QF 6,INDIAN RAILWAY,TELANGANA,Men,Quarterfinal,04:30 PM,82-58,2800062.0
6,9-Jan-2026,Indoor Court,QF 7,KERALA,DELHI,Women,Quarterfinal,06:00 PM,91-54,2800068.0
6,9-Jan-2026,Indoor Court,QF 8,TAMIL NADU,KERALA,Men,Quarterfinal,07:30 PM,87-57,2800063.0
7,10-Jan-2026,Indoor Court,P5-10 1,GUJARAT,MAHARASHTRA,Women,Placing 5-10,07:00 AM,,
7,10-Jan-2026,Indoor Court,P5-10 2,KARNATAKA,TELANGANA,Men,Placing 5-10,08:30 AM,,
7,10-Jan-2026,Indoor Court,P5-10 3,KARNATAKA,DELHI,Women,Placing 5-10,10:00 AM,,
7,10-Jan-2026,Indoor Court,P5-10 4,RAJASTHAN,KERALA,Men,Placing 5-10,11:30 AM,,
7,10-Jan-2026,Outdoor Court 1,P9-10 1,RAJASTHAN,PUDUCHERRY,Women,Placing 9-10,08:00 AM,,
7,10-Jan-2026,Outdoor Court 1,P9-10 2,PUNJAB,SERVICES,Men,Placing 9-10,09:30 AM,,
7,10-Jan-2026,Indoor Court,SF 1,TAMIL NADU,INDIAN RAILWAY,Women,Semifinal,,54-88,2800354.0
7,10-Jan-2026,Indoor Court,SF 2,MADHYA PRADESH,KERALA,Women,Semifinal,,58-87,2800352.0
7,10-Jan-2026,Indoor Court,SF 1,DELHI,INDIAN RAILWAY,Men,Semifinal,,53-65,2800362.0
7,10-Jan-2026,Indoor Court,SF 2,UTTAR PRADESH,TAMIL NADU,Men,Semifinal,,53-102,2800365.0
8,11-Jan-2026,Indoor Court,P7-8 1,DELHI,GUJARAT,Women,Placing 7-8,06:30 AM,,2800572
8,11-Jan-2026,Indoor Court,P7-8 2,TELANGANA,KERALA,Men,Placing 7-8,08:00 AM,,2800568
8,11-Jan-2026,Indoor Court,P5-6 1,MAHARASHTRA,KARNATAKA,Women,Placing 5-6,09:30 AM,,2800573
8,11-Jan-2026,Indoor Court,P5-6 2,RAJASTHAN,KARNATAKA,Men,Placing 5-6,11:00 AM,,2800569
8,11-Jan-2026,Indoor Court,P3-4 1,MADHYA PRADESH,TAMIL NADU,Women,Placing 3-4,12:30 PM,,2800574
8,11-Jan-2026,Indoor Court,P3-4 2,UTTAR PRADESH,DELHI,Men,Placing 3-4,02:00 PM,,2800570
8,11-Jan-2026,Indoor Court,FINAL 1,KERALA,INDIAN RAILWAYS,Women,Final,04:30 PM,,
8,11-Jan-2026,Indoor Court,FINAL 2,TAMIL NADU,INDIAN RAILWAYS,Men,Final,06:00 PM,,
